parent0_code,parent0_name,parent1_code,parent1_name,parent2_code,parent2_name,year,gender,age_group,diagnosis_count,patient_count,prevalence,denominator,gender_EN,parent0_name_EN,short_name,parent2_name_EN
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,F33,Korduv depressiivne häire e korduv depressioon,2021,N,80+,1020,116,0.0211139424827084,5494,F,Mental and behavioural disorders,Mental health disorders,"Major depressive disorder, recurrent"
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I63,Peaajuinfarkt,2021,N,80+,901,154,0.02803057881325081,5494,F,Diseases of the circulatory system,Circulatory system,Cerebral infarction
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,I20,Stenokardia e rinnaangiin e rinnaahistus,2021,N,80+,3577,561,0.10211139424827084,5494,F,Diseases of the circulatory system,Circulatory system,Angina pectoris
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I67,Peaajuveresoonte muud haigused,2021,N,80+,797,214,0.0389515835456862,5494,F,Diseases of the circulatory system,Circulatory system,Other cerebrovascular diseases
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F40,Foobsed ärevushäired e. foobiad,2021,N,80+,86,16,0.00291226792864943,5494,F,Mental and behavioural disorders,Mental health disorders,Phobic anxiety disorders
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I80,Flebiit e veenipõletik ja tromboflebiit e trombveenipõletik,2021,N,80+,411,109,0.01983982526392428,5494,F,Diseases of the circulatory system,Circulatory system,Phlebitis and thrombophlebitis
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F41,Muud ärevushäired,2021,N,80+,2962,485,0.08827812158718602,5494,F,Mental and behavioural disorders,Mental health disorders,Other anxiety disorders
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I69,Peaajuveresoonte haiguse jääknähud,2021,N,80+,729,200,0.03640334910811795,5494,F,Diseases of the circulatory system,Circulatory system,Sequelae of cerebrovascular disease
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F43,Rasked stressreaktsioonid ja kohanemishäired,2021,N,80+,384,58,0.0105569712413542,5494,F,Mental and behavioural disorders,Mental health disorders,"Reaction to severe stress, and adjustment disorders"
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",I70,Ateroskleroos,2021,N,80+,2039,316,0.05751729159082636,5494,F,Diseases of the circulatory system,Circulatory system,Atherosclerosis
