"parent2_code","parent2_name","parent1_code","parent1_name","parent0_code","parent0_name","parent0_name_EN","short_name","year","gender","age_group","prevalence_data1","denominator_data1","patient_count_data1","gender_EN","parent2_name_EN","prevalence_data2","denominator_data2","patient_count_data2","prevalence_diff","se","ci_low","ci_high","z","p_value","sig","lab","fold_diff_nat","fold_diff_reg","meta_model_type"
"F70","Kerge vaimne alaareng","F70-F79","Vaimne alaareng","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00756609334447719,22733,172,"M","Mild intellectual disabilities",0.00238805970149253,6700,16,-1.66370967089818,0.376542606501683,-2.40171961828631,-0.92569972351004,-4.41838358308262,9.94418194233404e-06,"sig","10-19",NA,NA,NA
"I84","Hemorroidid e päraku veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.0014076452733911,22733,32,"M","Hemorrhoids",0.00134328358208955,6700,9,-0.0675199147537594,0.543970395810915,-1.13368229919915,0.998642469691632,-0.124124245131218,0.901216901764004,"nosig","10-19",NA,NA,NA
"F40","Foobsed ärevushäired e. foobiad","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.000835789381076,22733,19,"M","Phobic anxiety disorders",0.00104477611940298,6700,7,0.321982492417883,0.637559371706561,-0.927610914132962,1.57157589896873,0.505023542444415,0.613542300716564,"nosig","10-19",NA,NA,NA
"F41","Muud ärevushäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00285927946157568,22733,65,"M","Other anxiety disorders",0.00507462686567164,6700,34,0.827650112025811,0.304689328221752,0.230470002237473,1.42483022181415,2.71637381215875,0.00660013500405165,"sig","10-19",NA,NA,NA
"F32","Depressiivne episood e. depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00567457000835789,22733,129,"M","Major depressive disorder, single episode",0.00656716417910447,6700,44,0.210759447017968,0.251070258078358,-0.28132921640479,0.702848110440725,0.839444100751236,0.401220145115537,"nosig","10-19",NA,NA,NA
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.00527866977521664,22733,120,"M","Essential (primary) hypertension",0.01,6700,67,0.921753678653181,0.219106688466211,0.49231246048757,1.35119489681879,4.20687147939497,2.5893029614199e-05,"sig","10-19",NA,NA,NA
"I11","Südamekahjustusega hüpertooniatõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.0006598337219021,22733,15,"M","Hypertensive heart disease",0.0008955223880597,6700,6,0.440626988916518,0.696599277192535,-0.924682506037483,1.80593648387052,0.632540117888655,0.527034002411584,"nosig","10-19",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00826991598117274,22733,188,"M","Reaction to severe stress, and adjustment disorders",0.00507462686567164,6700,34,-0.704570926623373,0.268114969904846,-1.23006661135291,-0.179075241893835,-2.62786865975229,0.00859216830531007,"sig","10-19",NA,NA,NA
"F45","Somatoformsed häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.0109092508687811,22733,248,"M","Somatoform disorders",0.0140298507462686,6700,94,0.362947625094688,0.173587530691592,0.0227223167739259,0.703172933415449,2.09086230818921,0.0365404087198142,"sig","10-19",NA,NA,NA
"F07","Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist","F00-F09","Orgaanilised - k.a sümptomaatilised - psüühikahäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00123168961421721,22733,28,"M","Personality and behavioral disorders due to known physiological condition",0.00134328358208955,6700,9,0.125125163188639,0.552445126077464,-0.957647387357878,1.20789771373516,0.226493378766988,0.820817708422589,"nosig","10-19",NA,NA,NA
"F48","Muud neurootilised häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00114371178463027,22733,26,"M","Other nonpsychotic mental disorders",0.0008955223880597,6700,6,-0.352922133616009,0.65310433625396,-1.63298311082071,0.927138843588689,-0.540376344215199,0.588937518288134,"nosig","10-19",NA,NA,NA
"F10","Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired","F10-F19","Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00224343465446707,22733,51,"M","Alcohol related disorders",0.00313432835820895,6700,21,0.48244716461119,0.373526111349855,-0.249650560919824,1.2145448901422,1.29160224667484,0.196494925610435,"nosig","10-19",NA,NA,NA
"F51","Mitteorgaanilised unehäired","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00114371178463027,22733,26,"M","Sleep disorders not due to a substance or known physiological condition",0.00119402985074626,6700,8,0.0621153656628265,0.582942163933805,-1.08043028071727,1.20466101204293,0.106554937189069,0.915142069884156,"nosig","10-19",NA,NA,NA
"I49","Muud südamerütmitused e arütmiad","I30-I52","Muud südamehaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.00497074737166234,22733,113,"M","Other cardiac arrhythmias",0.011044776119403,6700,74,1.15182948701769,0.214810598258382,0.730808450933755,1.57285052310162,5.36207010434477,8.22735959360443e-08,"sig","10-19",NA,NA,NA
"I83","Alajäsemete vaariksid e veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","10-19",0.0004639079606606,21556,10,"F","Varicose veins of lower extremities",0.0004673261157411,12839,6,0.0105910590163409,0.744830892814387,-1.44925066547267,1.47043278350535,0.0142194142570026,0.988654931215169,"nosig","10-19",NA,NA,NA
"I84","Hemorroidid e päraku veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","10-19",0.00148450547411393,21556,32,"F","Hemorrhoids",0.0023366305787055,12839,30,0.654447248791056,0.366282783259679,-0.0634538145550054,1.37234831213712,1.78672675512319,0.0739816625826788,"nosig","10-19",NA,NA,NA
"F51","Mitteorgaanilised unehäired","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.0009278159213212,21556,20,"F","Sleep disorders not due to a substance or known physiological condition",0.00116831528935275,12839,15,0.332519153903703,0.492511636146633,-0.632785914910593,1.297824222718,0.675149843169805,0.499580569242434,"nosig","10-19",NA,NA,NA
"F33","Korduv depressiivne häire e korduv depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00148450547411393,21556,32,"F","Major depressive disorder, recurrent",0.0020250798348781,12839,26,0.44799637132363,0.38057425608485,-0.2979154640458,1.19390820669306,1.17715889648549,0.239132091052222,"nosig","10-19",NA,NA,NA
"F45","Somatoformsed häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.0135461124512897,21556,292,"F","Somatoform disorders",0.016122750993068,12839,207,0.251219051801844,0.130093155847695,-0.00375884829479456,0.506196951898483,1.93107047150087,0.0534743380894267,"nosig","10-19",NA,NA,NA
"F10","Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired","F10-F19","Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00157728706624605,21556,34,"F","Alcohol related disorders",0.0014019783472233,12839,18,-0.169981186625489,0.420225743397329,-0.993608509060824,0.653646135809846,-0.404499698783969,0.685845299343378,"nosig","10-19",NA,NA,NA
"F48","Muud neurootilised häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00148450547411393,21556,32,"F","Other nonpsychotic mental disorders",0.00101253991743905,12839,13,-0.55200362867637,0.474225070520462,-1.48146768746244,0.377460430109703,-1.16401190698447,0.244419186443321,"nosig","10-19",NA,NA,NA
"F41","Muud ärevushäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00584524030432362,21556,126,"F","Other anxiety disorders",0.00771088090972817,12839,99,0.399633349762229,0.193090810656878,0.021182315129106,0.778084384395353,2.0696652958404,0.0384836987765036,"sig","10-19",NA,NA,NA
"F70","Kerge vaimne alaareng","F70-F79","Vaimne alaareng","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00394321766561514,21556,85,"F","Mild intellectual disabilities",0.00147986603318015,12839,19,-1.41390676951158,0.365750954009823,-2.130765466682,-0.697048072341166,-3.86576372258379,0.000110742110918327,"sig","10-19",NA,NA,NA
"I49","Muud südamerütmitused e arütmiad","I30-I52","Muud südamehaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","10-19",0.00329374652069029,21556,71,"F","Other cardiac arrhythmias",0.00685411636420281,12839,88,1.05724115231515,0.229582897733504,0.607266941291141,1.50721536333916,4.60505186907423,4.12363067003874e-06,"sig","10-19",NA,NA,NA
"F32","Depressiivne episood e. depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.0104379291148636,21556,225,"F","Major depressive disorder, single episode",0.0137861204143625,12839,177,0.401381012048497,0.144052095480499,0.119044093009193,0.6837179310878,2.78636010611059,0.0053303620107239,"sig","10-19",NA,NA,NA
"F06","Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest","F00-F09","Orgaanilised - k.a sümptomaatilised - psüühikahäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.0003711263685285,21556,8,"F","Other mental disorders due to known physiological condition",0.0006231014876548,12839,8,0.74755665318247,0.721168202206602,-0.665907049937969,2.16102035630291,1.03659125692886,0.29992638966687,"nosig","10-19",NA,NA,NA
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","10-19",0.00125255149378363,21556,27,"F","Essential (primary) hypertension",0.0020250798348781,12839,26,0.693108869160159,0.396082975871668,-0.0831994984377573,1.46941723675808,1.74990825504383,0.0801341460162119,"nosig","10-19",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00802560771942846,21556,173,"F","Reaction to severe stress, and adjustment disorders",0.00973596074460627,12839,125,0.278712710207898,0.168592161866567,-0.0517218551263197,0.609147275542116,1.65317715320886,0.0982948148009026,"nosig","10-19",NA,NA,NA
"F40","Foobsed ärevushäired e. foobiad","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","10-19",0.00129894228984969,21556,28,"F","Phobic anxiety disorders",0.001557753719137,12839,20,0.262129826012294,0.422071541491816,-0.565115194210968,1.08937484623556,0.621055437866751,0.534563147933067,"nosig","10-19",NA,NA,NA
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0249590038633647,35979,898,"M","Essential (primary) hypertension",0.035272836900814,13268,468,0.49899725649742,0.080934736383119,0.340368088088264,0.657626424906577,6.16542758767172,7.02929270346431e-10,"sig","20-29",NA,NA,NA
"I11","Südamekahjustusega hüpertooniatõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0066983518163373,35979,241,"M","Hypertensive heart disease",0.00957190232137473,13268,127,0.514999522197368,0.157513164698852,0.206279392296692,0.823719652098044,3.26956494831394,0.00107713006518506,"sig","20-29",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00525306428750104,35979,189,"M","Reaction to severe stress, and adjustment disorders",0.00776303889056376,13268,103,0.563462274617309,0.176083159990627,0.218345622751675,0.908578926482942,3.19997820715678,0.00137437979157573,"sig","20-29",NA,NA,NA
"I48","Kodade virvendus ja laperdus","I30-I52","Muud südamehaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0004724978459657,35979,17,"M","Atrial fibrillation and flutter",0.0006783237865541,13268,9,0.521666331847111,0.594543496044572,-0.643617507642782,1.686950171337,0.877423326161492,0.380256747956003,"nosig","20-29",NA,NA,NA
"I20","Stenokardia e rinnaangiin e rinnaahistus","I20-I25","Südame isheemiatõved","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0007226437644181,35979,26,"M","Angina pectoris",0.0009044317154055,13268,12,0.323726954235313,0.503274624142372,-0.662673183416669,1.31012709188729,0.643241162391159,0.520067627875096,"nosig","20-29",NA,NA,NA
"I80","Flebiit e veenipõletik ja tromboflebiit e trombveenipõletik","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.000694849773479,35979,25,"M","Phlebitis and thrombophlebitis",0.00120590895387398,13268,16,0.795347981880381,0.46165528228248,-0.109479744665951,1.70017570842671,1.72281789552604,0.0849214615409277,"nosig","20-29",NA,NA,NA
"F40","Foobsed ärevushäired e. foobiad","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00227910725701103,35979,82,"M","Phobic anxiety disorders",0.00278866445583358,13268,37,0.291105532666029,0.285343728436332,-0.26815789828356,0.850368963615618,1.02019250348088,0.307637172256355,"nosig","20-29",NA,NA,NA
"F20","Skisofreenia","F20-F29","Skisofreenia, skisotüüpsed ja luululised häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00308513299424664,35979,111,"M","Schizophrenia",0.00188423274042809,13268,25,-0.711355504920222,0.319047191254554,-1.33667650914781,-0.0860345006926339,-2.22962472141829,0.0257723672393209,"sig","20-29",NA,NA,NA
"F45","Somatoformsed häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0105617165568804,35979,380,"M","Somatoform disorders",0.0116822429906542,13268,155,0.145472968598452,0.136714128284511,-0.122481799016978,0.413427736213883,1.06406682633205,0.287298427571011,"nosig","20-29",NA,NA,NA
"I84","Hemorroidid e päraku veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.00814363934517357,35979,293,"M","Hemorrhoids",0.0128127826349111,13268,170,0.653838253370617,0.138319465198042,0.382737083221613,0.924939423519621,4.72701548140364,2.27843899902602e-06,"sig","20-29",NA,NA,NA
"I49","Muud südamerütmitused e arütmiad","I30-I52","Muud südamehaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.00505850635092693,35979,182,"M","Other cardiac arrhythmias",0.00874283991558637,13268,116,0.789390526584038,0.170775315697628,0.45467705836823,1.12410399479985,4.62239243042432,3.79339529343881e-06,"sig","20-29",NA,NA,NA
