parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
F01,Vaskulaarne dementsus,Vascular dementia,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-2.217133797145881,-2.7721873710974316,-1.6620802231943301,0.28319580274420475,-7.828978309923952,4.91850479607612e-15,0.2150682110623664,0.14638225991224518,0.315983203410684,0.1696009434984388,4.649687627289631,sig,Random-Effects
F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",Other mental disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.4238834776483227,-0.6360075719302009,-0.2117593833664445,0.1082285674405683,-3.9165581479316023,8.982215826314027e-5,0.7454153960375351,0.6434912463023738,0.8634835607207322,0.21999231441835843,1.3415338686533453,sig,Random-Effects
F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",Personality and behavioral disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.9774686159015862,-1.1744430080164592,-0.7804942237867131,0.10049898552656174,-9.726154057975467,2.332453051528003e-22,0.5078700784490864,0.4430547799831896,0.5821673261118357,0.13911254612864615,1.969007512814617,sig,Random-Effects
F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,Alcohol related disorders,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.8214539296279759,-1.1144516296243816,-0.5284562296315702,0.14949136938613883,-5.494992339699197,3.907273746834102e-8,0.5658713772484377,0.4618666781659919,0.6932962058673611,0.23142952770136915,1.767186042988289,sig,Random-Effects
F20,Skisofreenia,Schizophrenia,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-1.4000223275652202,-1.7004216652114181,-1.0996229899190222,0.15326778451834305,-9.134485319044106,6.571862720533458e-20,0.3789232772561177,0.3076961579740297,0.4666384234106536,0.15894226543662388,2.639056664033049,sig,Random-Effects
F32,Depressiivne episood e. depressioon,"Major depressive disorder, single episode",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.36329100917730045,0.16751977734623344,0.5590622410083674,0.09988511695892657,3.6370884896364304,2.757372225958184e-4,1.2863569311375238,1.1231259914950587,1.4733112463035973,0.3501852548085387,1.2863569311375238,sig,Random-Effects
F33,Korduv depressiivne häire e korduv depressioon,"Major depressive disorder, recurrent",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4257380765129138,0.16291625057916487,0.6885599024466627,0.13409523236490772,3.174893461941813,0.0014989152352045316,1.3432595327636092,1.1195478962568424,1.6116739430202665,0.4921260467634241,1.3432595327636092,sig,Random-Effects
F40,Foobsed ärevushäired e. foobiad,Phobic anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4609819976173484,0.2928449385406534,0.6291190566940434,0.08578579014866534,5.373640515736631,7.716262112167572e-8,1.3764784253717257,1.2250536555552018,1.5466203026471843,0.32156664709198246,1.3764784253717257,sig,Random-Effects
F41,Muud ärevushäired,Other anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.42999204100544736,0.262856886730311,0.5971271952805837,0.0852746048363527,5.042439561351577,4.5963395367765297e-7,1.347226144529113,1.1998523528446565,1.5127013587960736,0.31284900595141707,1.347226144529113,sig,Random-Effects
F43,Rasked stressreaktsioonid ja kohanemishäired,"Reaction to severe stress, and adjustment disorders",F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4402540135938132,0.2210330615893858,0.6594749655982406,0.1118494797524926,3.936129292402918,8.28063723303713e-5,1.356843204181083,1.165567908620807,1.5795076950178166,0.41393978639700957,1.356843204181083,sig,Random-Effects
F45,Somatoformsed häired,Somatoform disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.01808832397258505,-0.07106750888969099,0.10724415683486108,0.04548850568965853,0.3976460360336105,0.6908911209691176,1.012616799384966,0.9519333630695833,1.0771686571528425,0.12523529408325917,1.012616799384966,nosig,Random-Effects
F48,Muud neurootilised häired,Other nonpsychotic mental disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.36276044628797566,-0.6021326657668995,-0.12338822680905179,0.12213092759206877,-2.9702586678096554,0.002975490910687619,0.7776751549957038,0.6587793937693026,0.9180290889750854,0.2592496952057828,1.2858839498421732,sig,Random-Effects
F51,Mitteorgaanilised unehäired,Sleep disorders not due to a substance or known physiological condition,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.2901404290679904,0.08626705669114224,0.49401380144483864,0.104018938095279,2.789303893895055,0.005282147508316185,1.2227592928590139,1.0616197067537423,1.4083576998066172,0.3467379930528749,1.2227592928590139,sig,Random-Effects
F52,Mitteorgaanilised seksuaaldüsfunktsioonid,Sexual dysfunction not due to a substance or known physiological condition,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.17615575248545115,-0.9194094420435168,1.271720947014419,0.5589721051869558,0.3151422957439593,0.7526536160475611,1.1298691879811866,0.5287254063415332,2.414494114785617,1.8857687084440837,1.1298691879811866,nosig,Pass-Through
