parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
I67,Peaajuveresoonte muud haigused,Other cerebrovascular diseases,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,-0.41891687450407245,-0.6600703623183916,-0.17776338668975333,0.1230397546671812,-3.40472781043192,6.62300322717017e-4,0.7479859755474966,0.6328474313502859,0.8840725140054524,0.2512250826551665,1.3369234620582813,sig,Random-Effects
I69,Peaajuveresoonte haiguse jääknähud,Sequelae of cerebrovascular disease,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,-0.9086150437974492,-1.018652502978144,-0.7985775846167545,0.05614259243978773,-16.184059273214505,6.534089170930762e-59,0.5326962227637448,0.4935771448655295,0.5749157324212619,0.08133858755573242,1.8772425207218115,sig,Random-Effects
I70,Ateroskleroos,Atherosclerosis,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,-0.670573028242833,-0.7828523768985287,-0.5582936795871374,0.05728643461887097,-11.705616394250807,1.192892052837167e-31,0.6282570984310185,0.5812165234278104,0.6791048874541965,0.09788836402638612,1.5917050559354693,sig,Random-Effects
I80,Flebiit e veenipõletik ja tromboflebiit e trombveenipõletik,Phlebitis and thrombophlebitis,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,-0.40035287739800557,-0.4793223714934347,-0.32138338330257643,0.04029129857401997,-9.93646001909095,2.88912098781757e-23,0.7576729368390406,0.7173144648373088,0.8003021092687694,0.08298764443146067,1.3198306965693287,sig,Random-Effects
I83,Alajäsemete vaariksid e veenikomud,Varicose veins of lower extremities,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,0.061864541601391536,-0.1124934917989458,0.23622257500172889,0.08895981496377041,0.6954212036815315,0.4867913762160503,1.0438139164106195,0.9249879702663093,1.1779044994269372,0.2529165291606279,1.0438139164106195,nosig,Random-Effects
I84,Hemorroidid e päraku veenikomud,Hemorrhoids,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,0.016590312881032118,-0.11056602419331542,0.14374664995537967,0.06487687430857941,0.25571997815619474,0.7981670676251644,1.0115659023553927,0.9262245974201693,1.104770460273027,0.17854586285285778,1.0115659023553927,nosig,Random-Effects
F01,Vaskulaarne dementsus,Vascular dementia,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,M,M,MetaAgeCombined,-1.3091007018941274,-2.2636338694419313,-0.3545675343463236,0.487015667163805,-2.6880053151428056,0.007188025249234222,0.40357236642003347,0.20824678537608346,0.7821040533409884,0.573857267964905,2.47787034793956,sig,Random-Effects
F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",Other mental disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,M,M,MetaAgeCombined,-0.6875284073271575,-0.9082481821387473,-0.4668086325155677,0.1126141993182524,-6.1051662356020815,1.026937409336932e-9,0.6209166797821163,0.5328316988441114,0.7235634142413184,0.190731715397207,1.610522043554872,sig,Random-Effects
F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",Personality and behavioral disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,M,M,MetaAgeCombined,-1.0108631187474972,-1.185924383140997,-0.8358018543539976,0.08931861287980834,-11.317496836944455,1.0749763336532933e-29,0.4962492686713936,0.4395428178791375,0.5602715518027388,0.12072873392360128,2.0151163198230932,sig,Random-Effects
F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,Alcohol related disorders,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,M,M,MetaAgeCombined,-0.7428426211297786,-1.0448277399257941,-0.44085750233376303,0.15407687140071744,-4.8212467865979765,1.4266372988848233e-6,0.5975607848191802,0.48470277929251415,0.7366966042053998,0.2519938249128857,1.6734699220642408,sig,Random-Effects
