parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
F32,Depressiivne episood e. depressioon,"Major depressive disorder, single episode",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.4909092646388661,0.39940065178549944,0.5824178774922327,0.04668892570229601,10.514469057803245,7.409697260289185e-26,1.4053303120445053,1.3189598528411843,1.4973566342423847,0.1783967814012004,1.4053303120445053,sig,Random-Effects
F33,Korduv depressiivne häire e korduv depressioon,"Major depressive disorder, recurrent",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.6128512030675318,0.49293216980976196,0.7327702363253017,0.06118430450950933,10.016477395314379,1.2901963594220112e-23,1.5292785427518834,1.4073022076199393,1.6618270394648018,0.2545248318448625,1.5292785427518834,sig,Random-Effects
F40,Foobsed ärevushäired e. foobiad,Phobic anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.5877141284016222,0.44084602802877093,0.7345822287744734,0.07493408120318949,7.843081798894556,4.396214108374449e-15,1.5028636544846121,1.357400103300414,1.6639155680622344,0.30651546476182046,1.5028636544846121,sig,Random-Effects
F41,Muud ärevushäired,Other anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.533055341262604,0.4051825448372983,0.6609281376879097,0.06524242151077778,8.170379469660633,3.0742094512243467e-16,1.446990390836626,1.3242564585466476,1.5810994748490232,0.2568430163023756,1.446990390836626,sig,Random-Effects
F43,Rasked stressreaktsioonid ja kohanemishäired,"Reaction to severe stress, and adjustment disorders",F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.3860133994714994,0.294360843476104,0.4776659554668948,0.04676236743039112,8.254787357507206,1.5217292698969604e-16,1.3067773909315594,1.2263415513494151,1.3924890236091634,0.16614747225974824,1.3067773909315594,sig,Random-Effects
F45,Somatoformsed häired,Somatoform disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.20789767042769697,0.10547964478545539,0.31031569606993853,0.05225505491432594,3.978517882500607,6.934619644023471e-5,1.155003857854493,1.075852013532814,1.2399790072225145,0.16412699368970052,1.155003857854493,sig,Random-Effects
F48,Muud neurootilised häired,Other nonpsychotic mental disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,-0.2640401162496696,-0.37336381238698524,-0.154716420112354,0.055778420930000246,-4.733732361857818,2.204283479738421e-6,0.832752614651877,0.7719804339683287,0.8983089294695623,0.1263284955012336,1.2008368180483455,sig,Random-Effects
F51,Mitteorgaanilised unehäired,Sleep disorders not due to a substance or known physiological condition,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,0.3915010481841581,0.2853218440523333,0.4976802523159829,0.05417405879360684,7.226725427306542,4.947790208645974e-13,1.3117575086758149,1.2186821034118822,1.4119414380091433,0.19325933459726108,1.3117575086758149,sig,Random-Effects
F52,Mitteorgaanilised seksuaaldüsfunktsioonid,Sexual dysfunction not due to a substance or known physiological condition,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,1.0114263533536703,0.6394573517625235,1.383395354944817,0.18978359017063118,5.329366740529643,9.855580338144023e-8,2.015903183848213,1.5577431272538271,2.6088162904070216,1.0510731631531944,2.015903183848213,sig,Random-Effects
F70,Kerge vaimne alaareng,Mild intellectual disabilities,F70-F79,Vaimne alaareng,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,Koos,Both,MetaAgeGenderCombined,-1.108314550700566,-1.2635739885848598,-0.9530551128162724,0.07921545452312408,-13.991140458293197,1.7655776605095482e-44,0.4638355971667947,0.41651085819605804,0.5165374610661547,0.10002660287009668,2.1559362974903395,sig,Random-Effects
